# Supplementary data for Figure 1: Galactic Chemical Evolution model predictions
# Generated on: 2025-06-10 11:38:09
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains galactic chemical evolution (GCE) model predictions
# for carbon and oxygen isotope ratios as a function of metallicity.
# The models are from Romano et al. (2022) and represent different
# stellar initial mass function (IMF) assumptions.
#
# Model details:
# - GCE models from Romano et al. (2022), A&A, 660, A76
# - Two mass range scenarios for stellar nucleosynthesis:
#   * 1-8 M☉: Standard IMF truncated at 8 M☉
#   * 3-8 M☉: IMF truncated between 3-8 M☉
# - Models include contributions from AGB stars, supernovae, and novae
# - Metallicity range: -0.7 < [M/H] < +0.5 dex
#
# Physical interpretation:
# - Higher mass ranges lead to different isotope ratio evolution
# - Models predict the galactic enrichment history of isotopes
# - Useful for understanding stellar nucleosynthesis contributions
#
# Column descriptions:
# metallicity_mh: [M/H] metallicity grid for model calculations
# carbon_isotope_ratio_1-8_msun: ¹²C/¹³C for 1-8 M☉ IMF model
# oxygen_isotope_ratio_1-8_msun: ¹⁶O/¹⁸O for 1-8 M☉ IMF model
# carbon_oxygen_ratio_1-8_msun: (¹²C/¹³C)/(¹⁶O/¹⁸O) for 1-8 M☉ model
# carbon_isotope_ratio_3-8_msun: ¹²C/¹³C for 3-8 M☉ IMF model
# oxygen_isotope_ratio_3-8_msun: ¹⁶O/¹⁸O for 3-8 M☉ IMF model
# carbon_oxygen_ratio_3-8_msun: (¹²C/¹³C)/(¹⁶O/¹⁸O) for 3-8 M☉ model
#
# Units:
# - Metallicity: dex (solar-normalized logarithmic scale)
# - Isotope ratios: dimensionless
#
# References:
# - GCE models: Romano et al. (2022), A&A, 660, A76
# - Stellar nucleosynthesis: Karakas & Lugaro (2016), ApJ, 825, 26
# - Nova nucleosynthesis: José & Hernanz (1998), ApJ, 494, 680
# - Supernova yields: Kobayashi et al. (2006), ApJ, 653, 1145
#
# Notes:
# - Models assume closed-box galactic evolution
# - Each row represents a different metallicity point
# - Isotope ratios increase/decrease based on stellar mass contributions
# - Use for comparison with observational measurements
#
metallicity_mh,carbon_isotope_ratio_1-8_msun,oxygen_isotope_ratio_1-8_msun,carbon_oxygen_ratio_1-8_msun,carbon_isotope_ratio_3-8_msun,oxygen_isotope_ratio_3-8_msun,carbon_oxygen_ratio_3-8_msun
-0.70,532.99,385.94,1.38,509.98,385.94,1.32
-0.69,533.47,391.65,1.36,505.49,391.65,1.29
-0.69,533.90,397.38,1.34,500.56,397.38,1.26
-0.69,534.22,403.13,1.33,495.22,403.13,1.23
-0.68,534.46,408.91,1.31,489.55,408.90,1.20
-0.68,534.74,414.68,1.29,484.02,414.68,1.17
-0.67,535.01,420.48,1.27,478.55,420.48,1.14
-0.67,535.20,426.28,1.26,472.85,426.27,1.11
-0.67,535.39,432.09,1.24,466.97,432.09,1.08
-0.66,535.48,437.92,1.22,460.93,437.92,1.05
-0.66,535.56,443.76,1.21,454.78,443.76,1.02
-0.66,535.55,449.60,1.19,448.51,449.60,1.00
-0.65,535.52,455.47,1.18,442.16,455.46,0.97
-0.65,535.44,461.32,1.16,435.77,461.32,0.94
-0.64,535.29,467.19,1.15,429.33,467.19,0.92
-0.64,535.10,473.04,1.13,422.87,473.04,0.89
-0.64,534.86,478.91,1.12,416.39,478.91,0.87
-0.63,534.55,484.79,1.10,409.92,484.79,0.85
-0.63,534.19,490.66,1.09,403.47,490.66,0.82
-0.63,533.80,496.55,1.08,397.04,496.54,0.80
-0.62,533.31,502.41,1.06,390.68,502.41,0.78
-0.62,532.81,508.28,1.05,384.36,508.28,0.76
-0.62,532.28,514.15,1.04,378.11,514.14,0.74
-0.61,531.67,520.02,1.02,371.95,520.00,0.72
-0.61,530.98,525.87,1.01,365.82,525.86,0.70
-0.61,530.20,531.72,1.00,359.77,531.71,0.68
-0.60,529.35,537.56,0.98,353.80,537.55,0.66
-0.60,528.43,543.39,0.97,347.88,543.38,0.64
-0.60,527.39,549.22,0.96,342.06,549.21,0.62
-0.59,526.32,555.02,0.95,336.33,555.02,0.61
-0.59,525.16,560.83,0.94,330.71,560.82,0.59
-0.59,523.95,566.60,0.92,325.26,566.59,0.57
-0.59,522.66,572.38,0.91,319.97,572.38,0.56
-0.58,521.34,578.15,0.90,314.86,578.12,0.54
-0.58,519.95,583.89,0.89,309.89,583.88,0.53
-0.58,518.49,589.62,0.88,305.07,589.61,0.52
-0.57,517.01,595.33,0.87,300.41,595.32,0.50
-0.57,515.47,601.03,0.86,295.89,601.00,0.49
-0.57,513.88,606.69,0.85,291.51,606.68,0.48
-0.56,512.16,612.36,0.84,287.21,612.33,0.47
-0.56,510.40,617.98,0.83,283.03,617.97,0.46
-0.56,508.61,623.58,0.82,278.99,623.57,0.45
-0.56,506.77,629.19,0.81,275.07,629.16,0.44
-0.55,504.91,634.76,0.80,271.27,634.73,0.43
-0.55,502.96,640.29,0.79,267.56,640.26,0.42
-0.55,501.03,645.81,0.78,263.97,645.76,0.41
-0.54,499.03,651.30,0.77,260.51,651.26,0.40
-0.54,497.02,656.76,0.76,257.14,656.71,0.39
-0.54,494.91,662.18,0.75,253.85,662.14,0.38
-0.54,492.78,667.57,0.74,250.66,667.52,0.38
-0.53,490.58,672.93,0.73,247.54,672.90,0.37
-0.53,488.42,678.27,0.72,244.53,678.22,0.36
-0.53,486.22,683.56,0.71,241.60,683.52,0.35
-0.53,484.03,688.83,0.70,238.75,688.78,0.35
-0.52,481.81,694.06,0.69,236.01,694.01,0.34
-0.52,479.59,699.27,0.69,233.33,699.22,0.33
-0.52,477.31,704.43,0.68,230.70,704.39,0.33
-0.52,475.07,709.55,0.67,228.17,709.50,0.32
-0.51,472.79,714.65,0.66,225.69,714.60,0.32
-0.51,470.50,719.70,0.65,223.28,719.65,0.31
-0.51,468.22,724.73,0.65,220.94,724.65,0.30
-0.51,465.94,729.71,0.64,218.67,729.64,0.30
-0.50,463.64,734.65,0.63,216.44,734.56,0.29
-0.50,461.37,739.54,0.62,214.27,739.47,0.29
-0.50,459.06,744.40,0.62,212.16,744.32,0.29
-0.50,456.72,749.19,0.61,210.11,749.14,0.28
-0.49,454.44,753.98,0.60,208.12,753.89,0.28
-0.49,452.17,758.73,0.60,206.16,758.64,0.27
-0.49,449.85,763.39,0.59,204.25,763.32,0.27
