# Supplementary data for best-fit atmospheric models - all spectral orders
# Target: gl15A
# Retrieval run: fc5
# Generated on: 2025-06-10 12:23:34
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains high-resolution K-band spectroscopic data and
# best-fit atmospheric models from Bayesian retrieval analysis of M dwarf
# stellar atmospheres. All spectral orders are included in a single file.
# Data obtained with SPIRou at CFHT.
#
# Target properties:
# - Effective temperature: 3660 K
# - Spectral type: M2.0
# - Number of spectral orders: 3
# - Total data points: 12264
#
# Observational details:
# - Radial velocity correction: Not available
# - RV correction applied: Unknown (wavelengths are barycentric)
# - Spline continuum correction applied: Yes
# - Plotting offset: 13.500 (removed from saved data)
# - Spectral resolution: R ~ 75,000
# - Wavelength coverage: 2291.1 - 2515.7 nm
#
# Column descriptions:
# spectral_order: SPIRou spectral order number (0, 1, 2 for K-band)
# wavelength_nm: Wavelength in nanometers (barycentric, RV corrected)
# observed_flux: Observed normalized flux
# flux_error: 1-sigma uncertainty on observed flux
# petitradtrans_model: Best-fit atmospheric model flux from petitRADTRANS
# spline_continuum: Spline continuum normalization function
# valid_pixel: 1 for valid data points, 0 for masked/invalid pixels
#
# Data processing notes:
# - Wavelengths corrected for radial velocity using:
#   λ_corrected = λ_observed × (1 - RV/c)
# - Flux normalized to continuum level
# - Spline continuum divided out from model and applied to data
# - Plotting offset of 13.500 has been removed from flux and model data
# - Invalid pixels (telluric contamination, cosmic rays) marked in valid_pixel column
#
# Units:
# - Wavelength: nanometers (nm)
# - Flux: normalized (dimensionless)
# - Error: normalized flux units
# - Temperature: Kelvin (K)
# - Radial velocity: km/s
#
# Quality metrics:
# - Mean S/N ratio: 53.2
# - Valid pixels: 9845 / 12264 (80.3%)
# - RMS residuals: 0.0211
#
# Notes:
# - Each row represents one wavelength point
# - NaN values are preserved as NaN (not converted to other values)
# - Residuals can be calculated as: observed_flux - petitradtrans_model
# - Spline model contains the fitted continuum with 25 equally spaced knots
# - Data and model values have plotting offset removed for scientific analysis
#
spectral_order,wavelength_nm,observed_flux,flux_error,petitradtrans_model,spline_continuum,valid_pixel
0,2291.094248,nan,nan,nan,nan,0
0,2291.114049,nan,nan,nan,nan,0
0,2291.133849,nan,nan,nan,nan,0
0,2291.153647,nan,nan,nan,nan,0
0,2291.173445,nan,nan,nan,nan,0
0,2291.193241,nan,nan,nan,nan,0
0,2291.213037,nan,nan,nan,nan,0
0,2291.232831,nan,nan,nan,nan,0
0,2291.252625,nan,nan,nan,nan,0
0,2291.272417,nan,nan,nan,nan,0
0,2291.292208,nan,nan,nan,nan,0
0,2291.311998,nan,nan,nan,nan,0
0,2291.331787,nan,nan,nan,nan,0
0,2291.351575,nan,nan,nan,nan,0
0,2291.371362,nan,nan,nan,nan,0
0,2291.391148,nan,nan,nan,nan,0
0,2291.410933,nan,nan,nan,nan,0
0,2291.430716,nan,nan,nan,nan,0
0,2291.450499,nan,nan,nan,nan,0
0,2291.470280,nan,nan,nan,nan,0
0,2291.490061,nan,nan,nan,nan,0
0,2291.509840,nan,nan,nan,nan,0
0,2291.529619,nan,nan,nan,nan,0
0,2291.549396,nan,nan,nan,nan,0
0,2291.569172,nan,nan,nan,nan,0
0,2291.588947,nan,nan,nan,nan,0
0,2291.608722,nan,nan,nan,nan,0
0,2291.628495,nan,nan,nan,nan,0
0,2291.648267,nan,nan,nan,nan,0
0,2291.668037,nan,nan,nan,nan,0
0,2291.687807,1.091715,0.017868,1.089893,0.978075,1
0,2291.707576,1.096641,0.018306,1.091303,0.978107,1
0,2291.727344,1.099847,0.017092,1.091753,0.978139,1
0,2291.747110,1.091559,0.018334,1.087026,0.978170,1
0,2291.766876,1.064268,0.016227,1.070017,0.978201,1
0,2291.786640,1.010023,0.014379,1.027616,0.978233,1
0,2291.806404,0.971218,0.015921,0.990002,0.978264,1
0,2291.826166,1.015752,0.016688,1.017605,0.978295,1
0,2291.845928,1.070118,0.016562,1.064002,0.978325,1
0,2291.865688,1.090396,0.017088,1.080653,0.978356,1
0,2291.885447,1.085813,0.018479,1.084477,0.978387,1
0,2291.905205,1.077945,0.018037,1.086075,0.978417,1
0,2291.924962,1.071933,0.016999,1.083420,0.978447,1
0,2291.944718,1.068986,0.017953,1.080626,0.978478,1
