# Supplementary data for best-fit atmospheric models - all spectral orders
# Target: gl15B
# Retrieval run: fc5
# Generated on: 2025-06-10 12:23:33
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains high-resolution K-band spectroscopic data and
# best-fit atmospheric models from Bayesian retrieval analysis of M dwarf
# stellar atmospheres. All spectral orders are included in a single file.
# Data obtained with SPIRou at CFHT.
#
# Target properties:
# - Effective temperature: 3362 K
# - Spectral type: M3.5
# - Number of spectral orders: 3
# - Total data points: 12264
#
# Observational details:
# - Radial velocity correction: Not available
# - RV correction applied: Unknown (wavelengths are barycentric)
# - Spline continuum correction applied: Yes
# - Plotting offset: 3.240 (removed from saved data)
# - Spectral resolution: R ~ 75,000
# - Wavelength coverage: 2291.1 - 2515.7 nm
#
# Column descriptions:
# spectral_order: SPIRou spectral order number (0, 1, 2 for K-band)
# wavelength_nm: Wavelength in nanometers (barycentric, RV corrected)
# observed_flux: Observed normalized flux
# flux_error: 1-sigma uncertainty on observed flux
# petitradtrans_model: Best-fit atmospheric model flux from petitRADTRANS
# spline_continuum: Spline continuum normalization function
# valid_pixel: 1 for valid data points, 0 for masked/invalid pixels
#
# Data processing notes:
# - Wavelengths corrected for radial velocity using:
#   λ_corrected = λ_observed × (1 - RV/c)
# - Flux normalized to continuum level
# - Spline continuum divided out from model and applied to data
# - Plotting offset of 3.240 has been removed from flux and model data
# - Invalid pixels (telluric contamination, cosmic rays) marked in valid_pixel column
#
# Units:
# - Wavelength: nanometers (nm)
# - Flux: normalized (dimensionless)
# - Error: normalized flux units
# - Temperature: Kelvin (K)
# - Radial velocity: km/s
#
# Quality metrics:
# - Mean S/N ratio: 30.8
# - Valid pixels: 10444 / 12264 (85.2%)
# - RMS residuals: 0.0340
#
# Notes:
# - Each row represents one wavelength point
# - NaN values are preserved as NaN (not converted to other values)
# - Residuals can be calculated as: observed_flux - petitradtrans_model
# - Spline model contains the fitted continuum with 25 equally spaced knots
# - Data and model values have plotting offset removed for scientific analysis
#
spectral_order,wavelength_nm,observed_flux,flux_error,petitradtrans_model,spline_continuum,valid_pixel
0,2291.144894,nan,nan,nan,nan,0
0,2291.164694,nan,nan,nan,nan,0
0,2291.184494,nan,nan,nan,nan,0
0,2291.204293,nan,nan,nan,nan,0
0,2291.224090,nan,nan,nan,nan,0
0,2291.243886,nan,nan,nan,nan,0
0,2291.263682,nan,nan,nan,nan,0
0,2291.283476,nan,nan,nan,nan,0
0,2291.303269,nan,nan,nan,nan,0
0,2291.323061,nan,nan,nan,nan,0
0,2291.342852,nan,nan,nan,nan,0
0,2291.362642,nan,nan,nan,nan,0
0,2291.382431,nan,nan,nan,nan,0
0,2291.402219,nan,nan,nan,nan,0
0,2291.422006,nan,nan,nan,nan,0
0,2291.441792,nan,nan,nan,nan,0
0,2291.461576,nan,nan,nan,nan,0
0,2291.481360,nan,nan,nan,nan,0
0,2291.501143,nan,nan,nan,nan,0
0,2291.520924,nan,nan,nan,nan,0
0,2291.540705,nan,nan,nan,nan,0
0,2291.560484,nan,nan,nan,nan,0
0,2291.580262,nan,nan,nan,nan,0
0,2291.600039,nan,nan,nan,nan,0
0,2291.619816,nan,nan,nan,nan,0
0,2291.639591,nan,nan,nan,nan,0
0,2291.659365,nan,nan,nan,nan,0
0,2291.679138,nan,nan,nan,nan,0
0,2291.698910,nan,nan,nan,nan,0
0,2291.718681,nan,nan,nan,nan,0
0,2291.738450,1.098951,0.034488,1.090010,0.983454,1
0,2291.758219,1.064481,0.030983,1.063808,0.983480,1
0,2291.777987,0.983393,0.029051,0.996147,0.983507,1
0,2291.797753,0.880455,0.029125,0.902327,0.983533,1
0,2291.817519,0.897255,0.027064,0.903974,0.983559,1
0,2291.837283,1.017869,0.031172,0.998015,0.983586,1
0,2291.857047,1.082843,0.032825,1.061240,0.983612,1
0,2291.876809,1.090088,0.032213,1.081180,0.983637,1
0,2291.896570,1.074019,0.032123,1.088002,0.983663,1
0,2291.916331,1.060041,0.031075,1.084776,0.983689,1
0,2291.936090,1.059269,0.035099,1.077636,0.983714,1
0,2291.955848,1.066421,0.034154,1.080031,0.983740,1
0,2291.975605,1.071015,0.033361,1.090076,0.983765,1
0,2291.995361,1.073523,0.032862,1.092790,0.983790,1
