# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl15B
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,8.464264e-15,3.355274e-12,1.326494e-09,3.965497e-05,5.063152e-05,7.325972e-05,9.895316e+02,1.233014e+03,1.553231e+03,5.102836e-07
1.314147e-05,2.638727e-14,7.169697e-12,1.841637e-09,4.039278e-05,5.525408e-05,7.415768e-05,1.043878e+03,1.280664e+03,1.587069e+03,9.188152e-07
1.726983e-05,8.683804e-14,1.476166e-11,2.497612e-09,4.132642e-05,5.999826e-05,7.492144e-05,1.099442e+03,1.329105e+03,1.620726e+03,1.532369e-06
2.269511e-05,2.410985e-13,3.065974e-11,3.491362e-09,4.296225e-05,6.363778e-05,7.555874e-05,1.155928e+03,1.377314e+03,1.654162e+03,2.379814e-06
2.982471e-05,6.896078e-13,6.144992e-11,4.972792e-09,4.566396e-05,6.542768e-05,7.612048e-05,1.212374e+03,1.424781e+03,1.687650e+03,3.642948e-06
3.919407e-05,1.669433e-12,1.206076e-10,6.663203e-09,4.967844e-05,6.661066e-05,7.680760e-05,1.268509e+03,1.472446e+03,1.721579e+03,5.520507e-06
5.150678e-05,4.327950e-12,2.173937e-10,8.911808e-09,5.342208e-05,6.808138e-05,7.741779e-05,1.327094e+03,1.521108e+03,1.755944e+03,8.248024e-06
6.768750e-05,1.002339e-11,3.821980e-10,1.171446e-08,5.608488e-05,6.955744e-05,7.797998e-05,1.386574e+03,1.569633e+03,1.787226e+03,1.220734e-05
8.895135e-05,2.290264e-11,6.308193e-10,1.563164e-08,5.855330e-05,7.056459e-05,7.851180e-05,1.443246e+03,1.617037e+03,1.817659e+03,1.792263e-05
1.168952e-04,4.525275e-11,9.862520e-10,2.182928e-08,6.018349e-05,7.136286e-05,7.902432e-05,1.501675e+03,1.664551e+03,1.850702e+03,2.621975e-05
