# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl412A
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,2.055860e-07,1.046060e-06,2.597765e-06,1.770436e-05,1.910873e-05,2.094893e-05,1.844368e+03,2.002299e+03,2.098027e+03,2.952848e-06
1.314147e-05,2.239720e-07,1.003601e-06,2.339621e-06,1.782717e-05,1.914144e-05,2.098697e-05,1.865608e+03,2.013476e+03,2.102822e+03,3.885877e-06
1.726983e-05,2.405655e-07,9.608970e-07,2.102621e-06,1.789888e-05,1.917139e-05,2.101080e-05,1.887983e+03,2.025223e+03,2.109299e+03,5.104837e-06
2.269511e-05,2.560638e-07,9.098917e-07,1.881657e-06,1.794016e-05,1.919375e-05,2.102568e-05,1.910568e+03,2.038133e+03,2.116275e+03,6.699285e-06
2.982471e-05,2.884069e-07,8.930255e-07,1.736563e-06,1.791852e-05,1.916966e-05,2.100282e-05,1.933791e+03,2.051596e+03,2.125102e+03,8.801487e-06
3.919407e-05,3.099395e-07,8.590877e-07,1.614080e-06,1.790128e-05,1.915036e-05,2.100455e-05,1.957576e+03,2.066333e+03,2.134990e+03,1.159188e-05
5.150678e-05,3.274356e-07,8.237874e-07,1.502659e-06,1.786248e-05,1.910600e-05,2.099018e-05,1.981969e+03,2.081681e+03,2.146028e+03,1.530624e-05
6.768750e-05,3.592617e-07,8.192018e-07,1.444173e-06,1.781453e-05,1.907064e-05,2.097633e-05,2.007966e+03,2.098127e+03,2.158473e+03,2.026669e-05
8.895135e-05,3.924920e-07,8.085918e-07,1.376132e-06,1.777103e-05,1.903778e-05,2.094149e-05,2.033309e+03,2.115524e+03,2.172055e+03,2.689524e-05
1.168952e-04,4.185909e-07,8.107557e-07,1.306750e-06,1.772994e-05,1.899247e-05,2.092763e-05,2.060347e+03,2.135013e+03,2.186881e+03,3.577747e-05
