# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl4333
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,1.935582e-08,2.825597e-07,2.189747e-06,4.199968e-06,8.933861e-06,9.736387e-06,1.670731e+03,1.908873e+03,2.250315e+03,3.719219e-05
1.314147e-05,3.095134e-08,3.806272e-07,2.512694e-06,4.491461e-06,9.285966e-06,1.008174e-05,1.720245e+03,1.946987e+03,2.267822e+03,4.757345e-05
1.726983e-05,4.946791e-08,5.044331e-07,2.899516e-06,4.654529e-06,9.714804e-06,1.049293e-05,1.769867e+03,1.985060e+03,2.284739e+03,6.048533e-05
2.269511e-05,7.459030e-08,6.470150e-07,3.335976e-06,4.914336e-06,1.023061e-05,1.099926e-05,1.818648e+03,2.021776e+03,2.302539e+03,7.642954e-05
2.982471e-05,1.179603e-07,8.507672e-07,3.861460e-06,5.811775e-06,1.086639e-05,1.163076e-05,1.867185e+03,2.058900e+03,2.319497e+03,9.596065e-05
3.919407e-05,1.716643e-07,1.075901e-06,4.369955e-06,6.818566e-06,1.166281e-05,1.245782e-05,1.914319e+03,2.094667e+03,2.334485e+03,1.197054e-04
5.150678e-05,2.533948e-07,1.334715e-06,5.017886e-06,7.847129e-06,1.263680e-05,1.348099e-05,1.960299e+03,2.129178e+03,2.350196e+03,1.489835e-04
6.768750e-05,3.695277e-07,1.676104e-06,5.676687e-06,8.872676e-06,1.375971e-05,1.460641e-05,2.006318e+03,2.162542e+03,2.365676e+03,1.854254e-04
8.895135e-05,5.229371e-07,2.072904e-06,6.488614e-06,1.007225e-05,1.509431e-05,1.598684e-05,2.051796e+03,2.194759e+03,2.379583e+03,2.306989e-04
1.168952e-04,7.173468e-07,2.518442e-06,7.315278e-06,1.175364e-05,1.671665e-05,1.765804e-05,2.096399e+03,2.226596e+03,2.394071e+03,2.887213e-04
