# Supplementary data for best-fit atmospheric models - all spectral orders
# Target: gl480
# Retrieval run: fc5
# Generated on: 2025-06-10 12:23:34
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains high-resolution K-band spectroscopic data and
# best-fit atmospheric models from Bayesian retrieval analysis of M dwarf
# stellar atmospheres. All spectral orders are included in a single file.
# Data obtained with SPIRou at CFHT.
#
# Target properties:
# - Effective temperature: 3505 K
# - Spectral type: M3.5
# - Number of spectral orders: 3
# - Total data points: 12264
#
# Observational details:
# - Radial velocity correction: Not available
# - RV correction applied: Unknown (wavelengths are barycentric)
# - Spline continuum correction applied: Yes
# - Plotting offset: 9.180 (removed from saved data)
# - Spectral resolution: R ~ 75,000
# - Wavelength coverage: 2291.0 - 2515.6 nm
#
# Column descriptions:
# spectral_order: SPIRou spectral order number (0, 1, 2 for K-band)
# wavelength_nm: Wavelength in nanometers (barycentric, RV corrected)
# observed_flux: Observed normalized flux
# flux_error: 1-sigma uncertainty on observed flux
# petitradtrans_model: Best-fit atmospheric model flux from petitRADTRANS
# spline_continuum: Spline continuum normalization function
# valid_pixel: 1 for valid data points, 0 for masked/invalid pixels
#
# Data processing notes:
# - Wavelengths corrected for radial velocity using:
#   λ_corrected = λ_observed × (1 - RV/c)
# - Flux normalized to continuum level
# - Spline continuum divided out from model and applied to data
# - Plotting offset of 9.180 has been removed from flux and model data
# - Invalid pixels (telluric contamination, cosmic rays) marked in valid_pixel column
#
# Units:
# - Wavelength: nanometers (nm)
# - Flux: normalized (dimensionless)
# - Error: normalized flux units
# - Temperature: Kelvin (K)
# - Radial velocity: km/s
#
# Quality metrics:
# - Mean S/N ratio: 44.3
# - Valid pixels: 9604 / 12264 (78.3%)
# - RMS residuals: 0.0256
#
# Notes:
# - Each row represents one wavelength point
# - NaN values are preserved as NaN (not converted to other values)
# - Residuals can be calculated as: observed_flux - petitradtrans_model
# - Spline model contains the fitted continuum with 25 equally spaced knots
# - Data and model values have plotting offset removed for scientific analysis
#
spectral_order,wavelength_nm,observed_flux,flux_error,petitradtrans_model,spline_continuum,valid_pixel
0,2291.034419,nan,nan,nan,nan,0
0,2291.054219,nan,nan,nan,nan,0
0,2291.074018,nan,nan,nan,nan,0
0,2291.093816,nan,nan,nan,nan,0
0,2291.113613,nan,nan,nan,nan,0
0,2291.133409,nan,nan,nan,nan,0
0,2291.153203,nan,nan,nan,nan,0
0,2291.172997,nan,nan,nan,nan,0
0,2291.192790,nan,nan,nan,nan,0
0,2291.212581,nan,nan,nan,nan,0
0,2291.232372,nan,nan,nan,nan,0
0,2291.252161,nan,nan,nan,nan,0
0,2291.271950,nan,nan,nan,nan,0
0,2291.291737,nan,nan,nan,nan,0
0,2291.311523,nan,nan,nan,nan,0
0,2291.331309,nan,nan,nan,nan,0
0,2291.351093,nan,nan,nan,nan,0
0,2291.370876,nan,nan,nan,nan,0
0,2291.390658,nan,nan,nan,nan,0
0,2291.410439,nan,nan,nan,nan,0
0,2291.430219,nan,nan,nan,nan,0
0,2291.449997,nan,nan,nan,nan,0
0,2291.469775,nan,nan,nan,nan,0
0,2291.489552,nan,nan,nan,nan,0
0,2291.509327,nan,nan,nan,nan,0
0,2291.529102,nan,nan,nan,nan,0
0,2291.548875,nan,nan,nan,nan,0
0,2291.568648,nan,nan,nan,nan,0
0,2291.588419,nan,nan,nan,nan,0
0,2291.608189,nan,nan,nan,nan,0
0,2291.627959,1.092398,0.017410,1.089773,0.986565,1
0,2291.647727,1.101496,0.019370,1.088502,0.986631,1
0,2291.667494,1.100529,0.018015,1.090521,0.986695,1
0,2291.687260,1.100883,0.019422,1.095388,0.986759,1
0,2291.707025,1.107914,0.017398,1.097463,0.986821,1
0,2291.726789,1.107299,0.018264,1.097973,0.986882,1
0,2291.746551,1.097510,0.017798,1.092401,0.986943,1
0,2291.766313,1.067047,0.019381,1.071645,0.987002,1
0,2291.786074,0.999384,0.018779,1.019596,0.987060,1
0,2291.805833,0.957738,0.017479,0.974206,0.987117,1
0,2291.825592,1.006261,0.017464,1.005558,0.987173,1
0,2291.845349,1.072632,0.018507,1.062868,0.987228,1
0,2291.865106,1.089865,0.018593,1.085032,0.987283,1
0,2291.884861,1.081954,0.019122,1.089724,0.987336,1
0,2291.904616,1.070538,0.018554,1.091321,0.987388,1
0,2291.924369,1.065223,0.019571,1.087698,0.987439,1
0,2291.944121,1.073673,0.016739,1.084019,0.987489,1
0,2291.963872,1.079682,0.017852,1.088202,0.987538,1
0,2291.983622,1.083145,0.020157,1.095552,0.987587,1
0,2292.003371,1.085458,0.019882,1.094517,0.987634,1
0,2292.023119,1.078600,0.017731,1.085070,0.987680,1
0,2292.042866,1.077234,0.020378,1.081362,0.987725,1
0,2292.062611,1.084734,0.019588,1.085455,0.987770,1
0,2292.082356,1.096313,0.016155,1.089672,0.987813,1
0,2292.102100,1.099173,0.017254,1.096250,0.987855,1
0,2292.121842,1.098026,0.016418,1.101859,0.987897,1
0,2292.141584,1.092329,0.019581,1.103118,0.987937,1
0,2292.161324,1.091494,0.017295,1.101231,0.987977,1
0,2292.181063,1.097894,0.020101,1.093499,0.988015,1
0,2292.200802,1.096405,0.017980,1.082572,0.988053,1
0,2292.220539,1.089316,0.018741,1.078232,0.988090,1
0,2292.240275,1.082649,0.019392,1.080972,0.988126,1
0,2292.260010,1.082819,0.018629,1.085846,0.988161,1
0,2292.279744,1.082413,0.019315,1.087852,0.988195,1
0,2292.299477,1.089925,0.021513,1.087770,0.988228,1
0,2292.319209,1.092144,0.021517,1.085142,0.988260,1
0,2292.338940,1.083133,0.020637,1.078603,0.988291,1
0,2292.358670,nan,nan,nan,nan,0
0,2292.378398,nan,nan,nan,nan,0
0,2292.398126,1.103962,0.019341,1.097139,0.988322,1
0,2292.417853,1.101384,0.018299,1.096399,0.988351,1
0,2292.437578,1.098327,0.020219,1.095369,0.988380,1
0,2292.457303,1.091387,0.018333,1.098022,0.988407,1
0,2292.477026,1.094568,0.018565,1.101960,0.988434,1
0,2292.496748,1.098266,0.017650,1.104192,0.988460,1
0,2292.516469,1.097375,0.016171,1.102654,0.988485,1
